행정구역,상영관개수,총인구수,역사개수,총승객수
강남구,95,529946,32,7251659
강동구,25,460413,12,1359361
강북구,21,294429,11,755862
강서구,35,570011,22,3358883
관악구,13,487201,9,1358155
광진구,37,337900,11,1034741
구로구,24,394212,13,2989980
금천구,14,230156,4,1197447
노원구,28,505058,16,2457976
도봉구,12,312427,8,1277942
동대문구,15,337273,15,1916928
동작구,14,382747,21,2967390
마포구,38,364698,22,3974855
서대문구,23,305113,7,1052554
서초구,13,404902,19,2173465
성동구,17,281694,19,2709657
성북구,8,431581,13,1058895
송파구,38,659788,21,2669525
양천구,17,441749,6,535005
영등포구,28,375849,21,4001998
용산구,28,219102,19,1862973
은평구,18,468988,15,1749947
종로구,20,141861,15,3364315
중구,56,120648,23,3517925
중랑구,22,385976,16,1289077
